"user_message","tool_calls"
"Requesting get_weather_forecast with current (Natural Spanish language (Spain/International). variant 1)","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Requesting get_weather_forecast with current (Natural Spanish language (Spain/International). variant 2)","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Requesting get_weather_forecast with current (Conversational, polite, or verbose phrasing. variant 0)","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Requesting get_weather_forecast with current (Conversational, polite, or verbose phrasing. variant 1)","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Requesting find_nearby_poi with water (Standard natural language questions. Varied phrasing. variant 0)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Standard natural language questions. Varied phrasing. variant 1)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Standard natural language questions. Varied phrasing. variant 2)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Standard natural language questions. Varied phrasing. variant 3)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Short, terse, voice-command style. (e.g. 'Status?', 'Check battery') variant 0)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Short, terse, voice-command style. (e.g. 'Status?', 'Check battery') variant 1)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Indirect intent. Implied need without naming the tool explicitly. variant 0)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Indirect intent. Implied need without naming the tool explicitly. variant 1)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Natural Spanish language (Spain/International). variant 0)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Natural Spanish language (Spain/International). variant 1)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Natural Spanish language (Spain/International). variant 2)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Conversational, polite, or verbose phrasing. variant 0)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with water (Conversational, polite, or verbose phrasing. variant 1)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Requesting find_nearby_poi with cafe (Standard natural language questions. Varied phrasing. variant 0)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Requesting find_nearby_poi with cafe (Standard natural language questions. Varied phrasing. variant 1)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Requesting find_nearby_poi with cafe (Standard natural language questions. Varied phrasing. variant 2)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Requesting find_nearby_poi with cafe (Standard natural language questions. Varied phrasing. variant 3)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Requesting find_nearby_poi with cafe (Short, terse, voice-command style. (e.g. 'Status?', 'Check battery') variant 0)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Requesting find_nearby_poi with cafe (Short, terse, voice-command style. (e.g. 'Status?', 'Check battery') variant 1)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Requesting find_nearby_poi with cafe (Indirect intent. Implied need without naming the tool explicitly. variant 0)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Requesting find_nearby_poi with cafe (Indirect intent. Implied need without naming the tool explicitly. variant 1)","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"What's my current ride status?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Can you tell me the current status of my ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"How's my ride going, what's the status?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"What's the current ride status, please?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Can you show me the status of my current ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"What's the status of my ride right now?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Ride status please","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Current status","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"I'd love to know the current state of my ride, can you give me a quick update?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"What's the status of my ride, I'd like to know everything, thanks!","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"¿Cómo va mi recorrido de hoy?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"¿Qué información tengo sobre mi ronda actual?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Podrías decirme el estado de mi ruta actual, por favor?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"What's the current status of my ride, please?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Could you give me an update on my current ride, including speed, distance, elevation, and battery level?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"What's my current speed on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"What is my speed on this bike ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"Am I moving at a good speed?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"Can you tell me my current speed?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"What's my ride speed at the moment?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"What's my speed?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"Speed now","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"How's my current speed?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"What's my current speed reading?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"¿Cómo va el ritmo de la carrera?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"¿Cuál es mi velocidad actual en la carrera?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"¿Puedes decirme cuál es mi velocidad actual?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"What's my current speed while cycling?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"Can you please tell me my speed right now on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"What is my current ride distance?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"Can you tell me the distance I've traveled so far on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"How far have I cycled on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"What's my ride distance at the moment?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"Can you give me an update on the distance I've covered on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"What's my current distance traveled on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"How far have I traveled?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"Distance traveled?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"How's my progress on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"What's the current distance I've covered?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"¿Qué distancia he recorrido en esta aventura?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"¿Cuál es la distancia total de mi recorrido actual?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"¿Cuánto lejos he llegado en esta ruta?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"How far have I cycled so far?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"Could you please tell me the current distance I've covered on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"What's my e-bike's battery level?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"How much power do I have left?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Is my bike's battery running low?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"What's my current battery status?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"How's my e-bike's battery holding up?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
